iter	Passed	Remaining
0	140	140426
1	143	71661
2	149	49668
3	152	38056
4	155	30888
5	160	26513
6	165	23488
7	171	21245
8	176	19399
9	182	18086
10	185	16695
11	188	15496
12	193	14688
13	196	13869
14	199	13127
15	202	12466
16	206	11936
17	214	11677
18	217	11242
19	223	10946
20	227	10594
21	230	10237
22	232	9883
23	236	9630
24	242	9459
25	246	9217
26	248	8949
27	251	8722
28	257	8617
29	260	8411
30	262	8214
31	265	8018
32	268	7869
33	277	7881
34	281	7759
35	289	7744
36	291	7594
37	294	7448
38	296	7307
39	301	7226
40	307	7188
41	310	7079
42	312	6959
43	318	6923
44	321	6814
45	323	6707
46	325	6605
47	328	6520
48	331	6440
49	339	6454
50	343	6385
51	349	6366
52	352	6291
53	354	6211
54	357	6148
55	360	6076
56	367	6087
57	370	6024
58	373	5956
59	375	5889
60	380	5864
61	383	5808
62	387	5758
63	390	5707
64	395	5689
65	402	5691
66	406	5659
67	413	5666
68	416	5622
69	418	5566
70	421	5513
71	425	5478
72	431	5484
73	435	5445
74	437	5396
75	443	5395
76	454	5446
77	460	5445
78	467	5447
79	477	5489
80	481	5468
81	494	5537
82	499	5523
83	514	5609
84	525	5651
85	528	5616
86	537	5644
87	541	5616
88	544	5578
89	559	5660
90	570	5702
91	590	5829
92	608	5934
93	612	5902
94	618	5887
95	626	5901
96	641	5973
97	657	6053
98	666	6064
99	670	6036
100	673	5996
101	679	5978
102	692	6027
103	700	6031
104	703	5992
105	705	5953
106	711	5940
107	720	5947
108	723	5911
109	731	5918
110	734	5881
111	737	5845
112	740	5809
113	750	5835
114	758	5836
115	762	5809
116	765	5776
117	768	5742
118	772	5717
119	780	5727
120	784	5696
121	795	5723
122	798	5690
123	804	5683
124	816	5718
125	825	5725
126	828	5692
127	832	5673
128	838	5659
129	847	5673
130	854	5667
131	858	5644
132	863	5629
133	870	5624
134	891	5711
135	894	5681
136	897	5652
137	902	5634
138	910	5638
139	913	5610
140	922	5618
141	928	5612
142	941	5643
143	945	5618
144	950	5605
145	953	5579
146	956	5551
147	959	5525
148	967	5527
149	970	5501
150	974	5477
151	995	5551
152	1002	5548
153	1005	5526
154	1017	5549
155	1021	5525
156	1029	5530
157	1035	5519
158	1038	5491
159	1045	5488
160	1052	5485
161	1061	5493
162	1066	5476
163	1070	5457
164	1076	5448
165	1080	5426
166	1082	5399
167	1085	5374
168	1089	5356
169	1093	5340
170	1097	5320
171	1100	5296
172	1102	5270
173	1108	5261
174	1115	5259
175	1119	5240
176	1124	5226
177	1129	5217
178	1132	5194
179	1137	5181
180	1140	5161
181	1143	5139
182	1146	5119
183	1149	5097
184	1154	5087
185	1161	5084
186	1164	5064
187	1170	5055
188	1174	5037
189	1177	5018
190	1179	4996
191	1182	4978
192	1187	4964
193	1191	4949
194	1194	4929
195	1199	4920
196	1203	4906
197	1206	4885
198	1208	4865
199	1211	4844
200	1223	4862
201	1229	4855
202	1234	4846
203	1237	4827
204	1239	4806
205	1241	4786
206	1252	4796
207	1255	4779
208	1257	4760
209	1265	4762
210	1268	4743
211	1270	4723
212	1272	4703
213	1277	4692
214	1284	4689
215	1288	4675
216	1294	4669
217	1297	4652
218	1299	4633
219	1301	4614
220	1304	4596
221	1306	4579
222	1311	4568
223	1315	4557
224	1317	4539
225	1320	4521
226	1326	4516
227	1328	4499
228	1331	4483
229	1333	4465
230	1336	4448
231	1339	4433
232	1344	4427
233	1350	4419
234	1352	4403
235	1357	4394
236	1360	4378
237	1362	4362
238	1365	4348
239	1370	4338
240	1376	4334
241	1379	4321
242	1382	4305
243	1388	4301
244	1397	4306
245	1403	4302
246	1411	4302
247	1414	4288
248	1420	4283
249	1424	4272
250	1427	4259
251	1429	4243
252	1437	4244
253	1441	4234
254	1444	4219
255	1450	4214
256	1461	4225
257	1472	4235
258	1480	4236
259	1485	4227
260	1487	4211
261	1490	4197
262	1492	4183
263	1499	4179
264	1502	4167
265	1505	4153
266	1507	4138
267	1512	4131
268	1519	4130
269	1525	4125
270	1530	4118
271	1533	4104
272	1536	4090
273	1542	4087
274	1546	4076
275	1548	4061
276	1550	4047
277	1553	4034
278	1556	4023
279	1561	4015
280	1564	4002
281	1567	3990
282	1574	3989
283	1581	3986
284	1587	3983
285	1592	3975
286	1594	3961
287	1598	3951
288	1606	3952
289	1610	3942
290	1612	3929
291	1615	3917
292	1620	3910
293	1629	3912
294	1636	3910
295	1639	3899
296	1642	3886
297	1644	3874
298	1648	3865
299	1656	3864
300	1659	3853
301	1661	3840
302	1667	3835
303	1670	3824
304	1672	3811
305	1675	3799
306	1677	3787
307	1681	3778
308	1689	3779
309	1692	3766
310	1698	3762
311	1701	3751
312	1703	3739
313	1706	3728
314	1709	3718
315	1716	3714
316	1719	3705
317	1722	3693
318	1725	3682
319	1731	3678
320	1733	3667
321	1736	3655
322	1738	3643
323	1742	3635
324	1749	3633
325	1753	3624
326	1758	3620
327	1762	3611
328	1764	3599
329	1767	3588
330	1769	3577
331	1774	3570
332	1782	3570
333	1784	3558
334	1791	3556
335	1795	3547
336	1797	3536
337	1800	3525
338	1805	3520
339	1811	3517
340	1817	3512
341	1823	3509
342	1826	3499
343	1829	3488
344	1832	3478
345	1837	3473
346	1843	3468
347	1847	3461
348	1852	3455
349	1859	3452
350	1868	3454
351	1875	3452
